sensor number,x,y,side
198,-70.2736,-90.88,L
199,-62.792,-90.88,L
200,-55.3104,-90.88,L
201,-47.6952,-90.88,L
202,-40.2136,-90.88,L
203,-32.732,-90.88,L
204,-25.2504,-90.88,L
205,-107.6816,-105.92,L
206,-100.2,-105.92,L
207,-92.7184,-105.92,L
208,-85.2368,-105.92,L
209,-77.7552,-105.92,L
210,-70.2736,-105.92,L
211,-62.792,-105.92,L
212,-55.3104,-105.92,L
213,-47.6952,-105.92,L
214,-40.2136,-105.92,L
215,-32.732,-105.92,L
216,-25.2504,-105.92,L
217,-107.6816,-120.96,L
218,-100.2,-120.96,L
219,-92.7184,-120.96,L
220,-85.2368,-120.96,L
221,-77.7552,-120.96,L
222,-70.2736,-120.96,L
223,-62.792,-120.96,L
224,-55.3104,-120.96,L
225,-47.6952,-120.96,L
226,-40.2136,-120.96,L
227,-32.732,-120.96,L
228,-25.2504,-120.96,L
229,-107.6816,-135.68,L
230,-100.2,-135.68,L
231,-92.7184,-135.68,L
232,-85.2368,-135.68,L
233,-77.7552,-135.68,L
234,-70.2736,-135.68,L
235,-62.792,-135.68,L
236,-55.3104,-135.68,L
237,-47.6952,-135.68,L
238,-40.2136,-135.68,L
239,-32.732,-135.68,L
240,-25.2504,-135.68,L
1,107.6816,149.12,R
2,100.2,149.12,R
3,92.7184,149.12,R
4,85.2368,149.12,R
5,77.7552,149.12,R
6,70.2736,149.12,R
7,62.792,149.12,R
8,55.3104,149.12,R
9,47.6952,149.12,R
10,40.2136,149.12,R
11,32.732,149.12,R
12,25.2504,149.12,R
13,107.6816,134.08,R
14,100.2,134.08,R
15,92.7184,134.08,R
16,85.2368,134.08,R
17,77.7552,134.08,R
18,70.2736,134.08,R
19,62.792,134.08,R
20,55.3104,134.08,R
21,47.6952,134.08,R
22,40.2136,134.08,R
23,32.732,134.08,R
24,25.2504,134.08,R
25,107.6816,119.04,R
26,100.2,119.04,R
27,92.7184,119.04,R
28,85.2368,119.04,R
29,77.7552,119.04,R
30,70.2736,119.04,R
31,62.792,119.04,R
32,55.3104,119.04,R
33,47.6952,119.04,R
34,40.2136,119.04,R
35,32.732,119.04,R
36,25.2504,119.04,R
37,107.6816,104.32,R
38,100.2,104.32,R
39,92.7184,104.32,R
40,85.2368,104.32,R
41,77.7552,104.32,R
42,70.2736,104.32,R
43,62.792,104.32,R
44,55.3104,104.32,R
45,47.6952,104.32,R
46,40.2136,104.32,R
47,32.732,104.32,R
48,25.2504,104.32,R
49,107.6816,89.28,R
50,100.2,89.28,R
51,92.7184,89.28,R
52,85.2368,89.28,R
53,77.7552,89.28,R
54,70.2736,89.28,R
55,62.792,89.28,R
56,55.3104,89.28,R
57,47.6952,89.28,R
58,40.2136,89.28,R
59,32.732,89.28,R
60,25.2504,89.28,R
61,107.6816,74.24,R
62,100.2,74.24,R
63,92.7184,74.24,R
64,85.2368,74.24,R
65,77.7552,74.24,R
66,70.2736,74.24,R
67,62.792,74.24,R
68,55.3104,74.24,R
69,47.6952,74.24,R
70,40.2136,74.24,R
71,32.732,74.24,R
72,25.2504,74.24,R
73,107.6816,59.2,R
74,100.2,59.2,R
75,92.7184,59.2,R
76,85.2368,59.2,R
77,77.7552,59.2,R
78,70.2736,59.2,R
79,62.792,59.2,R
80,55.3104,59.2,R
81,47.6952,59.2,R
82,40.2136,59.2,R
83,32.732,59.2,R
84,25.2504,59.2,R
85,107.6816,44.16,R
86,100.2,44.16,R
87,92.7184,44.16,R
88,85.2368,44.16,R
89,77.7552,44.16,R
90,70.2736,44.16,R
91,62.792,44.16,R
92,55.3104,44.16,R
93,47.6952,44.16,R
94,40.2136,44.16,R
95,32.732,44.16,R
96,25.2504,44.16,R
97,107.6816,29.12,R
98,100.2,29.12,R
99,92.7184,29.12,R
100,85.2368,29.12,R
101,77.7552,29.12,R
102,70.2736,29.12,R
103,62.792,29.12,R
104,55.3104,29.12,R
105,47.6952,29.12,R
106,40.2136,29.12,R
107,32.732,29.12,R
108,25.2504,29.12,R
109,107.6816,14.08,R
110,100.2,14.08,R
111,92.7184,14.08,R
112,85.2368,14.08,R
113,77.7552,14.08,R
114,70.2736,14.08,R
115,62.792,14.08,R
116,55.3104,14.08,R
117,47.6952,14.08,R
118,40.2136,14.08,R
119,32.732,14.08,R
120,25.2504,14.08,R
121,107.6816,-0.96,R
122,100.2,-0.96,R
123,92.7184,-0.96,R
124,85.2368,-0.96,R
125,77.7552,-0.96,R
126,70.2736,-0.96,R
127,62.792,-0.96,R
128,55.3104,-0.96,R
129,47.6952,-0.96,R
130,40.2136,-0.96,R
131,32.732,-0.96,R
132,25.2504,-0.96,R
133,107.6816,-15.68,R
134,100.2,-15.68,R
135,92.7184,-15.68,R
136,85.2368,-15.68,R
137,77.7552,-15.68,R
138,70.2736,-15.68,R
139,62.792,-15.68,R
140,55.3104,-15.68,R
141,47.6952,-15.68,R
142,40.2136,-15.68,R
143,32.732,-15.68,R
144,25.2504,-15.68,R
145,107.6816,-30.72,R
146,100.2,-30.72,R
147,92.7184,-30.72,R
148,85.2368,-30.72,R
149,77.7552,-30.72,R
150,70.2736,-30.72,R
151,62.792,-30.72,R
152,55.3104,-30.72,R
153,47.6952,-30.72,R
154,40.2136,-30.72,R
155,32.732,-30.72,R
156,25.2504,-30.72,R
157,107.6816,-45.76,R
158,100.2,-45.76,R
159,92.7184,-45.76,R
160,85.2368,-45.76,R
161,77.7552,-45.76,R
162,70.2736,-45.76,R
163,62.792,-45.76,R
164,55.3104,-45.76,R
165,47.6952,-45.76,R
166,40.2136,-45.76,R
167,32.732,-45.76,R
168,25.2504,-45.76,R
169,107.6816,-60.8,R
170,100.2,-60.8,R
171,92.7184,-60.8,R
172,85.2368,-60.8,R
173,77.7552,-60.8,R
174,70.2736,-60.8,R
175,62.792,-60.8,R
176,55.3104,-60.8,R
177,47.6952,-60.8,R
178,40.2136,-60.8,R
179,32.732,-60.8,R
180,25.2504,-60.8,R
181,107.6816,-75.84,R
182,100.2,-75.84,R
183,92.7184,-75.84,R
184,85.2368,-75.84,R
185,77.7552,-75.84,R
186,70.2736,-75.84,R
187,62.792,-75.84,R
188,55.3104,-75.84,R
189,47.6952,-75.84,R
190,40.2136,-75.84,R
191,32.732,-75.84,R
192,25.2504,-75.84,R
193,107.6816,-90.88,R
194,100.2,-90.88,R
195,92.7184,-90.88,R
196,85.2368,-90.88,R
197,77.7552,-90.88,R
198,70.2736,-90.88,R
