Frequency[Hz],X-amplitude,Y-amplitude
0,38.820233008019,287.224119212215
0.0751879716053942,1.88427181571555,16.0360414238699
0.150375943210788,1.45176398038954,7.87181317122698
0.225563914816182,1.88378210532281,6.22326994915368
0.300751886421577,1.10552946359091,4.59567085427591
0.375939858026971,1.055790903088,3.61451466617408
0.451127829632365,0.715575779723431,3.08193162617131
0.526315801237759,0.071352356098932,1.6384430279565
0.601503772843153,0.519168400429596,1.89893067540645
0.676691744448548,0.201702060610823,1.39468091876127
0.751879716053942,0.250985420899164,0.568641371497198
0.827067687659336,0.041917329994529,1.05002788662087
0.90225565926473,0.137469217414192,0.95883589042053
0.977443630870124,0.213046400419374,0.735787745457456
1.05263160247552,0.348674641483952,0.197437481247248
1.12781957408091,0.0988049433523666,1.08327007006644
1.20300754568631,0.058524453927452,0.956022161363465
1.2781955172917,0.149328998641405,1.16195719424882
1.3533834888971,0.0794898889518565,1.29456677826898
1.42857146050249,0.0639179720873949,1.04486132614095
1.50375943210788,0.111830793367728,1.41047944848916
1.57894740371328,0.113187437201325,1.24593872591168
1.65413537531867,0.0991532228846834,1.00409237516142
1.72932334692407,0.13002625795518,1.07177736543981
1.80451131852946,0.100070543023054,0.788409106433285
1.87969929013485,0.0328121245829415,0.435488467806229
1.95488726174025,0.0706251497686406,0.362876407719028
2.03007523334564,0.0865711304547909,0.197678454130584
2.10526320495104,0.0635935240075544,0.190565019175125
2.18045117655643,0.0407609427536287,0.268746277407174
2.25563914816182,0.0627914082400979,0.351799500915255
2.33082711976722,0.0415131760465568,0.433032984298805
2.40601509137261,0.0325121174799108,0.498636491924061
2.48120306297801,0.0148388798329407,0.373277435817255
2.5563910345834,0.0169105096184554,0.483682029621398
2.6315790061888,0.0209058329019254,0.436177011404752
2.70676697779419,0.0167356309168211,0.305204938827513
2.78195494939958,0.0551579984670944,0.469158363769454
2.85714292100498,0.0218101039124764,0.374183306858005
2.93233089261037,0.0773556933574484,0.366328743759392
3.00751886421577,0.0278946465620011,0.469257587790882
3.08270683582116,0.0606010330014535,0.458743244626916
3.15789480742656,0.0447154851905816,0.356799697182514
3.23308277903195,0.0380912964871908,0.417933390808378
3.30827075063734,0.0336266098169938,0.328043623237829
3.38345872224274,0.0680588824423945,0.232509144730955
3.45864669384813,0.0828534192491514,0.220863078055492
3.53383466545353,0.0433150366732913,0.155199388196656
3.60902263705892,0.0617640221574218,0.0525528622738413
3.68421060866431,0.0170504851123652,0.162603990552286
3.75939858026971,0.0689752903143003,0.205632996005258
3.8345865518751,0.0406318861909273,0.228611547368319
3.9097745234805,0.0157706546751779,0.326793422381409
3.98496249508589,0.0389867508300868,0.357175203732129
4.06015046669128,0.0191421992837797,0.327422072398924
4.13533843829668,0.0548206757507841,0.313985145630686
4.21052640990207,0.0163356806226154,0.330589788195507
4.28571438150747,0.014797995895118,0.370747666051095
4.36090235311286,0.0186658380840254,0.319536924395925
4.43609032471826,0.0386128466104828,0.299139247781231
4.51127829632365,0.0479970235750771,0.309381479195042
4.58646626792904,0.0416747563033309,0.25311772700697
4.66165423953444,0.0369280984130328,0.28965633819075
4.73684221113983,0.0502177000785795,0.249989492308305
4.81203018274523,0.0396615382939522,0.188593753009982
4.88721815435062,0.0298946309222146,0.254007147020619
4.96240612595601,0.0477637708782847,0.245084805833876
5.03759409756141,0.0300852318576047,0.181740591043397
5.1127820691668,0.0575237320295552,0.153537107136696
5.1879700407722,0.0553523789023427,0.191680070442194
5.26315801237759,0.0384136596563949,0.13682970532553
5.33834598398299,0.056650279986778,0.202056497823059
5.41353395558838,0.0489023054286365,0.22804911957405
5.48872192719377,0.0250645656584461,0.217204746846697
5.56390989879917,0.00993684200945864,0.275304274200126
5.63909787040456,0.0294775583737443,0.306972039546735
5.71428584200996,0.0157871096609125,0.265240319998659
5.78947381361535,0.0353667279166784,0.297395331218446
5.86466178522074,0.0371629485865328,0.306689928178161
5.93984975682614,0.0267817244758564,0.262221581436427
6.01503772843153,0.030872963716196,0.264074425108542
6.09022570003693,0.0494287539843507,0.25505996821058
6.16541367164232,0.0392744204341092,0.221512838254958
6.24060164324772,0.0411027345200665,0.248419467104961
6.31578961485311,0.0571074105944573,0.204379874846459
6.3909775864585,0.0447631940135172,0.187224531843414
6.4661655580639,0.0459475834549643,0.217853745677015
6.54135352966929,0.039787781986017,0.212760737138855
6.61654150127469,0.041732808454982,0.192353663311781
6.69172947288008,0.047266473679518,0.22067855690816
6.76691744448547,0.0388303973030061,0.197801867093118
6.84210541609087,0.00914618000784297,0.22611925926946
6.91729338769626,0.0199333768066397,0.248757089639467
6.99248135930166,0.02357115097519,0.229386149186796
7.06766933090705,0.0311073878860971,0.235523009693195
7.14285730251245,0.0296950579958322,0.24363837434973
7.21804527411784,0.0381264408835873,0.224597977710742
7.29323324572323,0.0301139323109939,0.259998173841259
7.36842121732863,0.0412449638353714,0.248676981222912
7.44360918893402,0.036580938515961,0.248134065630885
7.51879716053942,0.0218124286235567,0.238036768485053
