Sensor nummer,29,30,31,32,33,34,40,41,42,43,44,45,46,47,51,52,53,54,55,56,57,58,59,62,63,64,65,66,67,68,69,70,71,72,74,75,76,77,78,79,80,81,82,83,84,86,87,88,89,90,91,92,93,94,95,96,98,99,100,101,102,103,104,105,106,107,110,111,112,113,114,115,116,117,118,119,122,123,124,125,126,127,128,129,130,131,135,136,137,138,139,140,141,142,143,147,148,149,150,151,152,153,154,155,159,160,161,162,163,164,165,166,167,171,172,173,174,175,176,177,178,179,183,184,185,186,187,188,189,190,191,195,196,197,198,199,200,201,202,208,209,210,211,212,213,214,221,222,223,224,225
Minimum,0.06256109,2.31476,5.004888,1.188661,5.255132,5.818182,0,0.7507331,0,0,0,4.56696,10.38514,11.32356,0,0,2.502444,5.567937,4.942327,1.438905,0,0,0,0,4.254155,12.95015,16.76637,13.01271,15.57771,13.95112,10.38514,10.76051,9.947214,0,1.626588,10.32258,13.826,14.70186,15.7654,14.01369,17.01662,16.26588,13.26295,12.51222,2.377322,4.00391,6.568915,6.694037,11.19844,9.008798,7.945259,4.817204,10.26002,9.884653,6.193548,0,0.5004888,4.00391,3.44086,0.2502444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.940372,4.692082,5.880743,4.254155,0,0,0,0,1.626588,3.44086,4.379277,9.259042,9.509287,5.693059,0,0,0,0,5.755621,6.130987,14.20137,12.07429,10.38514,4.441838,0,3.503421,11.13587,6.81916,10.26002,10.38514,5.755621,0,0.9384164,3.628544,4.316716,0.5630499,0
Maximum,0.4379277,2.627566,5.442815,1.313783,5.505376,7.131965,0,1.1261,0,0,0,5.317693,13.20039,12.51222,0,0.2502444,3.002933,6.130987,5.693059,2.064516,0,0.1251222,0,0,4.817204,13.5132,17.32942,13.70088,16.51613,14.38905,11.19844,11.38612,10.63539,0,2.001955,10.82307,15.13978,15.45259,16.82893,14.32649,17.64223,17.32942,13.95112,12.95015,3.378299,4.504399,7.194526,7.069404,11.94917,9.759531,8.821115,5.13001,11.13587,10.4477,7.131965,0,1.000978,4.56696,4.129032,0.8758553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.565982,5.317693,7.069404,4.942327,0,0,0,0,3.190616,4.191593,4.817204,10.76051,11.38612,6.381232,0.5004888,0.06256109,0,2.565005,7.820137,7.820137,16.82893,15.32747,12.13685,7.069404,0,4.879766,13.826,9.196481,13.45063,12.13685,9.759531,0,2.815249,5.818182,6.881721,0.688172,0
20% Averarge,0.1251222,2.377322,5.13001,1.251222,5.442815,6.443793,0,0.8758553,0,0,0,4.942327,11.01075,11.94917,0,0.06256109,2.565005,5.818182,5.13001,1.68915,0,0,0,0,4.504399,13.26295,17.01662,13.20039,15.95308,14.26393,10.76051,11.13587,10.26002,0,1.751711,10.57283,14.26393,15.01466,16.26588,14.13881,17.26686,16.82893,13.76344,12.6999,3.002933,4.191593,6.881721,6.81916,11.51124,9.384164,8.508309,4.942327,10.63539,10.1349,6.568915,0,0.6256109,4.316716,3.816227,0.5004888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.190616,5.004888,6.381232,4.692082,0,0,0,0,2.189638,3.816227,4.629521,9.947214,10.51026,5.943304,0.3128055,0,0,1.68915,6.881721,7.069404,15.57771,13.70088,11.44868,6.130987,0,4.316716,12.82502,8.508309,11.94917,11.32356,8.695992,0,2.127077,4.942327,5.880743,0.6256109,0
0.000,0.06256109,2.31476,5.004888,1.313783,5.255132,6.005865,0,0.8132942,0,0,0,4.56696,10.38514,11.32356,0,0.06256109,2.502444,5.567937,4.942327,1.438905,0,0,0,0,4.254155,13.01271,16.95406,13.20039,15.57771,14.01369,10.38514,10.76051,10.07234,0,1.626588,10.38514,13.88856,14.70186,15.7654,14.07625,17.01662,16.45357,13.32551,12.57478,2.940372,4.00391,6.568915,6.694037,11.19844,9.196481,8.070381,4.817204,10.26002,9.884653,6.381232,0,0.5004888,4.129032,3.565982,0.2502444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253177,5.067449,6.381232,4.56696,0,0,0,0,2.377322,3.816227,4.629521,10.1349,10.38514,5.818182,0,0,0,2.001955,6.944282,7.194526,15.51515,13.5132,11.5738,5.755621,0,4.629521,13.01271,8.821115,12.26197,11.38612,8.445747,0,2.439883,5.13001,6.005865,0.688172,0
0.010,0.06256109,2.377322,5.004888,1.313783,5.255132,6.005865,0,0.8132942,0,0,0,4.56696,10.38514,11.32356,0,0.06256109,2.502444,5.630498,4.942327,1.438905,0,0,0,0,4.254155,13.01271,16.95406,13.20039,15.57771,14.01369,10.38514,10.76051,9.947214,0,1.626588,10.38514,13.88856,14.76442,15.82796,14.07625,17.01662,16.26588,13.38807,12.57478,2.940372,4.00391,6.631476,6.694037,11.19844,9.196481,8.00782,4.817204,10.32258,9.884653,6.381232,0,0.5004888,4.191593,3.565982,0.2502444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253177,5.067449,6.381232,4.56696,0,0,0,0,2.377322,3.878788,4.629521,10.1349,10.38514,5.818182,0,0,0,2.001955,6.944282,7.194526,15.57771,13.5132,11.51124,5.755621,0,4.629521,13.01271,8.758554,12.26197,11.38612,8.445747,0,2.439883,5.13001,6.068426,0.688172,0
0.020,0.06256109,2.31476,5.004888,1.313783,5.255132,6.005865,0,0.8132942,0,0,0,4.56696,10.38514,11.32356,0,0.06256109,2.502444,5.630498,4.942327,1.438905,0,0,0,0,4.254155,13.01271,16.95406,13.20039,15.64027,13.95112,10.4477,10.76051,10.07234,0,1.626588,10.38514,13.88856,14.76442,15.82796,14.07625,17.07918,16.51613,13.32551,12.57478,2.940372,4.00391,6.631476,6.694037,11.19844,9.196481,8.070381,4.817204,10.32258,9.884653,6.381232,0,0.5004888,4.191593,3.628544,0.3128055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253177,5.067449,6.443793,4.56696,0,0,0,0,2.439883,3.878788,4.629521,10.1349,10.38514,5.818182,0,0,0,2.001955,6.944282,7.194526,15.51515,13.5132,11.63636,5.755621,0,4.629521,13.01271,8.821115,12.26197,11.38612,8.508309,0,2.439883,5.13001,6.068426,0.688172,0
0.030,0.06256109,2.377322,5.004888,1.313783,5.255132,6.005865,0,0.8132942,0,0,0,4.56696,10.4477,11.38612,0,0.06256109,2.502444,5.630498,4.942327,1.438905,0,0,0,0,4.254155,13.01271,16.95406,13.20039,15.57771,14.01369,10.38514,10.76051,10.00978,0,1.626588,10.38514,13.88856,14.70186,15.82796,14.07625,17.01662,16.32845,13.38807,12.57478,2.940372,4.00391,6.631476,6.694037,11.19844,9.196481,8.00782,4.817204,10.32258,9.884653,6.381232,0,0.5004888,4.191593,3.565982,0.2502444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253177,5.067449,6.443793,4.56696,0,0,0,0,2.439883,3.816227,4.629521,10.19746,10.38514,5.880743,0,0,0,2.001955,6.944282,7.257087,15.51515,13.5132,11.51124,5.818182,0,4.629521,13.01271,8.695992,12.26197,11.38612,8.508309,0,2.439883,5.13001,6.068426,0.688172,0
0.040,0.1251222,2.377322,5.004888,1.313783,5.255132,6.005865,0,0.8132942,0,0,0,4.56696,10.38514,11.32356,0,0.06256109,2.502444,5.630498,4.942327,1.564027,0,0,0,0,4.254155,13.01271,16.95406,13.20039,15.64027,14.01369,10.38514,10.82307,10.1349,0,1.626588,10.38514,13.88856,14.76442,15.82796,14.07625,17.07918,16.51613,13.38807,12.57478,2.940372,4.00391,6.631476,6.694037,11.19844,9.196481,8.070381,4.817204,10.32258,9.884653,6.381232,0,0.5004888,4.191593,3.565982,0.3128055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253177,5.067449,6.443793,4.629521,0,0,0,0,2.439883,3.816227,4.692082,10.1349,10.38514,5.818182,0,0,0,2.001955,6.944282,7.194526,15.57771,13.57576,11.63636,5.755621,0,4.629521,13.01271,8.821115,12.26197,11.32356,8.508309,0,2.439883,5.192571,6.005865,0.6256109,0
0.050,0.1251222,2.377322,5.004888,1.313783,5.255132,6.005865,0,0.8132942,0,0,0,4.629521,10.38514,11.32356,0,0,2.502444,5.630498,4.942327,1.564027,0,0,0,0,4.254155,13.01271,16.95406,13.13783,15.64027,14.01369,10.38514,10.82307,10.1349,0,1.626588,10.32258,13.88856,14.76442,15.82796,14.01369,17.07918,16.51613,13.32551,12.57478,2.940372,4.00391,6.631476,6.694037,11.19844,9.196481,8.070381,4.817204,10.32258,9.947214,6.381232,0,0.5004888,4.191593,3.565982,0.3128055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253177,5.067449,6.443793,4.56696,0,0,0,0,2.439883,3.816227,4.629521,10.1349,10.38514,5.818182,0,0,0,2.001955,6.944282,7.194526,15.57771,13.5132,11.63636,5.755621,0,4.629521,13.01271,8.883676,12.26197,11.32356,8.445747,0,2.439883,5.192571,6.068426,0.688172,0
